"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"NL","Netherlands","ERDF","2016","507318228","0","507318228","14306374.02","0","0","14306374.02","9537582.68","0","0","9537582.68","0","0","0","23843956.7","4.7","4.7"
"PL","Poland","ERDF","2016","40213870235","0","40213870235","1134031140.72","0","0","1134031140.72","756020760.48","0","0","756020760.48","786974664.22","0","786974664.22","2677026565.42","6.66","6.66"
"CY","Cyprus","ERDF","2020","299898560","0","299898560","10988443.09","0","0","10988443.09","37012725.61","13479718.54","12675313.6","10857693.47","142903372.45","0","156383090.99","178229227.55","59.43","59.43"
"HR","Croatia","ERDF","2016","4321499588","0","4321499588","121866288.39","0","0","121866288.39","81244192.26","0","0","81244192.26","0","0","0","203110480.65","4.7","4.7"
"LT","Lithuania","ERDF","2019","3501411767","0","3501411767","98739811.83","0","0","98739811.83","337361023.76","10933956.17","231801414.59","94625653","973622582.35","838845.06","983717693.46","1177083158.29","33.62","33.62"
"FI","Finland","TOTAL","2017","791976209","0","791976209","22252604.61","0","0","22252604.61","34306098.77","0","14835069.74","19471029.03","137460324.33","0","137460324.33","179183957.97","22.62","22.62"
"HR","Croatia","ERDF","2020","4700499588","0","4700499588","121866288.39","0","0","121866288.39","538242773.75","72005310.32","283000468.13","183236995.3","1686819572.16","0","1758824882.48","2063928166.17","43.91","43.91"
"MT","Malta","ERDF","2019","384353997","0","384353997","10838782.71","0","0","10838782.71","37032507.59","2604668.5","24040672.33","10387166.76","112291754.81","0","114896423.31","136122372.78","35.42","35.42"
"SE","Sweden","ERDF","2019","934750041","-19872","934730169","26648949","0","0","26648949","90508702.96","19606878.09","45640205.96","25261618.91","336747465.41","1333879.85","355020463.65","406931031.56","43.53","43.53"
"CY","Cyprus","TOTAL","2018","594767585","0","594767585","21123211.09","0","0","21123211.09","39791517.41","3496813.5","20919961.81","15374742.1","196034703.36","0","199531516.86","236029470.05","39.68","39.68"
