"ms"	"ms_name"	"fund"	"year"	"planned_eu_amount"	"n_3_decommitment_amount"	"de_commitments_at_closure"	"rec_at_closure"	"net_planned_eu_amount"	"cumulative_initial_pre_financing"	"cumulative_additional_initial_pre_financing"	"recovery_of_initial_pre_financing"	"net_initial_pre_financing"	"cumulative_annual_pre_financing"	"annual_pre_financing_covered_by_expenditure"	"pf_covered_by_expenditure_at_closure_clearing"	"recovery_of_annual_pre_financing"	"recovery_of_pf_at_closure"	"net_annual_pre_financing"	"cumulative_interim_payments"	"recovery_of_expenses"	"recovery_of_expenses_at_closure"	"payment_at_closure"	"net_interim_payments"	"total_net_payments"	"eu_payment_rate"	"eu_payment_rate_on_planned_eu_amount"
"78"	"GR"	"Greece"	"ERDF"	2021	10702894878	0	0	0	10702894878	483878540.55	537270092.92	0	1021148633.47	1266526032.25	239149727.29	0	630380068.66	0	1418144869.77	7430850898.55	9582469.77	0	0	7660418156.07	9078563025.84	84.8234344943549	84.8234344943549
"79"	"LV"	"Latvia"	"CF"	2022	1246634592	0	0	0	1246634592	38053494.39	0	0	38053494.39	217934983.91	22156843.38	0	136690500.57	0	97141134.35	734085734.87	1582884.99	0	0	754659693.26	851800827.61	68.3280275612631	68.3280275612631
"80"	"TC"	"Interreg"	"TOTAL"	2017	9260255380	0	0	0	9260255380	277009954.59	0	0	277009954.59	427399386.11	169395.88	0	184517809.7	0	519722135.12	248903394.38	0	0	0	249072790.26	768794925.38	8.30209204640747	8.30209204640747
"81"	"MT"	"Malta"	"ERDF"	2024	379516282	0	0	0	379516282	10838782.71	0	0	10838782.71	69509021.52	23014093.27	0	41589037.22	0	15744673.74	327837352.85	0	0	0	350851446.12	366596119.86	96.595623757718	96.595623757718
"82"	"SK"	"Slovakia"	"TOTAL"	2020	11069506764	147316596	0	0	10922190168	325105019.97	0	0	325105019.97	1425104719.71	89628556.69	0	724405509.33	0	936175673.66	3543060027.83	32619701.18	0	0	3600068883.34	4536244557	41.5323711382572	40.9796448361428
"83"	"CZ"	"Czechia"	"TOTAL"	2024	18992194650	0	0	0	18992194650	888878365.11	0	0	888878365.11	3383441395.18	1401863686.07	0	1761284206.24	0	1109171867.98	16495374197.46	16009566.99	0	0	17881228316.54	18990400184.52	99.9905515633497	99.9905515633497
"84"	"TC"	"Interreg"	"TOTAL"	2014	1972500983	0	0	0	1972500983	19725009.83	0	0	19725009.83	0	0	0	0	0	19725009.83	0	0	0	0	0	19725009.83	1	1
"85"	"SE"	"Sweden"	"TOTAL"	2020	934750041	19872	0	0	934730169	26648949	0	0	26648949	116868056.95	31661164.73	0	45640205.96	0	66215635.26	447285050.14	1333879.85	0	0	477612335.02	543827970.28	58.1802094674875	58.178972605148
"86"	"EE"	"Estonia"	"CF"	2025	1061534677	0	0	0	1061534677	30267677.07	0	0	30267677.07	196418673.35	38388453.92	0	134009249.76	0	54288646.74	1131046478.85	162188902.51	0	0	1007246030.26	1061534677	100	100
"87"	"EU28"	"EU28"	"TOTAL"	2014	133162721010	0	0	0	133162721010	776134779.68	0	0	776134779.68	0	0	0	0	0	776134779.68	0	0	0	0	0	776134779.68	0.582846891226949	0.582846891226949
